id,obs,sim,depth
2086,0.6595788020276456,0.2709999978542328,0-5 cm
2087,0.24431291365366167,0.2709999978542328,0-5 cm
2088,0.2396983969098189,0.4320000112056732,0-5 cm
2089,0.37237568339126126,0.3889999985694885,0-5 cm
2090,0.723,0.531000018119812,0-5 cm
2091,0.610398100962444,0.43700000643730164,0-5 cm
2092,0.251,0.3440000116825104,0-5 cm
2093,0.49099545929487687,0.2919999957084656,0-5 cm
2094,0.438807865355442,0.35899999737739563,0-5 cm
2096,0.401410953930711,0.39800000190734863,0-5 cm
2097,0.3398898258946924,0.2939999997615814,0-5 cm
2098,0.424094187694765,0.49900001287460327,0-5 cm
2099,0.23145297896172137,0.29499998688697815,0-5 cm
2100,0.22839868205807107,0.3310000002384186,0-5 cm
2101,0.17713380854549043,0.30399999022483826,0-5 cm
2102,0.5478026306259836,0.4099999964237213,0-5 cm
2107,0.2490298350361521,0.24400000274181366,0-5 cm
2109,0.29123812844557095,0.3440000116825104,0-5 cm
2110,0.1831535199105765,0.31700000166893005,0-5 cm
2111,0.24915658531016824,0.3160000145435333,0-5 cm
2112,0.16378085914635104,0.32499998807907104,0-5 cm
2113,0.3647565801640114,0.3319999873638153,0-5 cm
2114,0.19528006706371037,0.3269999921321869,0-5 cm
2115,0.4171106118297883,0.38499999046325684,0-5 cm
2116,0.4650053701577247,0.3659999966621399,0-5 cm
2117,0.411776411260662,0.3479999899864197,0-5 cm
2118,0.42565841228001966,0.328000009059906,0-5 cm
2119,0.6067995150123849,0.38100001215934753,0-5 cm
2120,0.3266699406214428,0.3319999873638153,0-5 cm
2121,0.5712831173398266,0.3529999852180481,0-5 cm
2122,0.32723348860679746,0.3440000116825104,0-5 cm
2124,0.3387870688519488,0.27000001072883606,0-5 cm
2126,0.4386158022012976,0.33799999952316284,0-5 cm
2127,0.34900745392077726,0.37400001287460327,0-5 cm
2128,0.3705389044612031,0.2980000078678131,0-5 cm
2129,0.4421386008635632,0.3529999852180481,0-5 cm
2130,0.30402088567112145,0.3970000147819519,0-5 cm
2131,0.567867592757278,0.3230000138282776,0-5 cm
2133,0.33736089233611777,0.3720000088214874,0-5 cm
2134,0.05266114200151473,0.07400000095367432,0-5 cm
2135,0.2807961130395771,0.3140000104904175,0-5 cm
2136,0.226981681859288,0.44200000166893005,0-5 cm
13238,0.28635444858997194,0.35199999809265137,0-5 cm
13239,0.3455341491687734,0.31299999356269836,0-5 cm
13240,0.36332363739105594,0.296999990940094,0-5 cm
13241,0.3546102984409262,0.3190000057220459,0-5 cm
13242,0.2674562177065228,0.2759999930858612,0-5 cm
13243,0.21586484634565892,0.30799999833106995,0-5 cm
13244,0.27767679499341724,0.2329999953508377,0-5 cm
13245,0.27733694248876106,0.2939999997615814,0-5 cm
13246,0.3652684872697105,0.38499999046325684,0-5 cm
13247,0.30560384156320036,0.1899999976158142,0-5 cm
13248,0.2802463975549061,0.23100000619888306,0-5 cm
13249,0.21840103295399865,0.20800000429153442,0-5 cm
13250,0.2424430400490772,0.20499999821186066,0-5 cm
13251,0.23532082903625387,0.28999999165534973,0-5 cm
13252,0.30746421096531795,0.3109999895095825,0-5 cm
13253,0.3795589574707688,0.2750000059604645,0-5 cm
13254,0.2428729672271876,0.23800000548362732,0-5 cm
13255,0.26571187456829776,0.27900001406669617,0-5 cm
13256,0.13942053611161193,0.24799999594688416,0-5 cm
13257,0.261320985699324,0.24799999594688416,0-5 cm
13258,0.16871959836540082,0.2029999941587448,0-5 cm
13259,0.11982188304978576,0.19099999964237213,0-5 cm
13260,0.2366706642849125,0.25200000405311584,0-5 cm
13261,0.24258496697455945,0.2409999966621399,0-5 cm
13262,0.2009943466238155,0.25200000405311584,0-5 cm
13263,0.1989280712980564,0.328000009059906,0-5 cm
13264,0.2840370023770775,0.2849999964237213,0-5 cm
13265,0.1860230331884376,0.25099998712539673,0-5 cm
13266,0.18162411478331883,0.2549999952316284,0-5 cm
13267,0.2900192895530821,0.24799999594688416,0-5 cm
13268,0.2792737563010729,0.3889999985694885,0-5 cm
13269,0.1920095100613075,0.25600001215934753,0-5 cm
13270,0.2435869758491486,0.2370000034570694,0-5 cm
13271,0.16448589749402073,0.27900001406669617,0-5 cm
