id,obs,sim,depth
2086,0.3426836803766067,0.10599999874830246,0-5 cm
2087,0.12773609755530474,0.10599999874830246,0-5 cm
2088,0.12476196908636228,0.14000000059604645,0-5 cm
2089,0.1935787684563645,0.13300000131130219,0-5 cm
2090,0.407,0.17900000512599945,0-5 cm
2091,0.31734350774686676,0.1550000011920929,0-5 cm
2092,0.13,0.13500000536441803,0-5 cm
2093,0.25622991819469587,0.11800000071525574,0-5 cm
2094,0.22733887821719148,0.15700000524520874,0-5 cm
2096,0.2086028029200023,0.1459999978542328,0-5 cm
2097,0.17620517152352227,0.10499999672174454,0-5 cm
2098,0.22109322365431455,0.2290000021457672,0-5 cm
2099,0.1204623082708304,0.11800000071525574,0-5 cm
2100,0.11475506038122796,0.15299999713897705,0-5 cm
2101,0.11046673056070856,0.13099999725818634,0-5 cm
2102,0.2851250886063997,0.14399999380111694,0-5 cm
2107,0.12923243233280668,0.08900000154972076,0-5 cm
2109,0.1517831588498237,0.11900000274181366,0-5 cm
2110,0.08726172915683407,0.11699999868869781,0-5 cm
2111,0.13029283402578942,0.12600000202655792,0-5 cm
2112,0.08549007302578811,0.11100000143051147,0-5 cm
2113,0.1893899638328071,0.1080000028014183,0-5 cm
2114,0.10215173577282088,0.1379999965429306,0-5 cm
2115,0.21618677610028064,0.12999999523162842,0-5 cm
2116,0.24209722846402193,0.12300000339746475,0-5 cm
2117,0.2144077500923708,0.12300000339746475,0-5 cm
2118,0.2213880395277272,0.1120000034570694,0-5 cm
2119,0.3155320021307086,0.13300000131130219,0-5 cm
2120,0.1695020598716472,0.11900000274181366,0-5 cm
2121,0.29679866918290276,0.13099999725818634,0-5 cm
2122,0.16993475479462206,0.10899999737739563,0-5 cm
2124,0.1862174022935658,0.0989999994635582,0-5 cm
2126,0.24097548820739095,0.11900000274181366,0-5 cm
2127,0.19196909850119603,0.15700000524520874,0-5 cm
2128,0.2036155632735934,0.10400000214576721,0-5 cm
2129,0.2432728736551696,0.12099999934434891,0-5 cm
2130,0.16770947651900317,0.19499999284744263,0-5 cm
2131,0.31194692992919204,0.11699999868869781,0-5 cm
