id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2086,0.6614135338345865,0.6614135338345865,0.663531686358754,0.7435480463832392,0.8248418627213195,NA,74,-72.66258565,-48.31854844,CHLSOC
2087,0.2395290429417918,0.21589352642647303,0.1545477069991449,0.14883798965917255,0.07419005526372685,NA,74,-72.66258565,-48.31854844,CHLSOC
2088,0.24064630870674475,0.25255703185249473,0.2823549331954952,0.3206720490068833,0.3413892193829062,NA,80,-72.34483909,-48.253207,CHLSOC
2089,0.3716962365591398,0.35117026407337126,0.26922549019607844,0.19612756957621758,NA,NA,31,-73.51804315,-47.79141855,CHLSOC
2090,0.723,0.723,0.723,NA,NA,NA,23,-73.07585168,-47.7001661,CHLSOC
2091,0.6073246588223334,0.5620359497353035,0.4662743329408818,0.357684128615486,0.31070762190362433,NA,74,-72.94555953,-47.48234204,CHLSOC
2092,0.251,0.251,NA,NA,NA,NA,8,-72.59043587,-47.2896276,CHLSOC
2093,0.4896001174398121,0.46943992219612446,0.43663390585241724,NA,NA,NA,25,-72.49085695,-47.26195015,CHLSOC
2094,0.4176305512898541,0.2913432296532758,0.3419456381767711,0.2702004684455703,NA,NA,58,-72.24317388,-47.23738386,CHLSOC
2096,0.4017603090373557,0.400045204310627,0.3903980667632896,0.32316854023763886,NA,NA,56,-72.68752222,-47.14735727,CHLSOC
2097,0.3407956989247311,0.34946505376344084,0.378314358001265,0.394078431372549,NA,NA,36,-72.45635354,-47.11921865,CHLSOC
2098,0.42240207324836937,0.39477432585912364,0.3735168686522424,0.4006794960667644,NA,NA,47,-72.60890576,-47.1135525,CHLSOC
2099,0.22844578047339287,0.21958502695800844,0.19028179917368487,0.1696888083968907,0.05364850995727808,0.19485783648877017,120,-71.7001371,-46.54507242,CHLSOC
2100,0.22753281774327314,0.22287209205576994,0.217322688769097,0.25032717796381626,0.263638372262201,NA,92,-71.73868062,-46.72717222,CHLSOC
2101,0.17807666456959484,0.1827200181823942,0.19995677700501116,0.21250752932079603,0.207162799612491,NA,69,-71.8672515,-46.51644819,CHLSOC
2102,0.5376048246802405,0.4341239672551087,0.4855533099457015,0.5096248457164471,0.14560525043112965,NA,65,-72.53019162,-46.75176027,CHLSOC
2107,0.24331938403965742,0.20623266199227963,0.10991798776464934,0.15355933792799892,0.282085348762673,NA,90,-72.71684099,-46.53849301,CHLSOC
2108,0.2342846052017105,0.1996608163361014,0.0686271713929528,0.34759605591868015,0.9032996558990979,0.3471989015160164,168,-72.56091111,-46.12423387,CHLSOC
2109,0.2899149746242189,0.279117134092193,0.2572358112182328,0.2651746702482304,0.3793231250094501,NA,90,-72.0735922,-46.10764901,CHLSOC
2110,0.17582023804540634,0.123054297281332,0.08384812765163464,0.4160198325445182,0.3826146563202657,NA,97,-71.9530782,-46.23658086,CHLSOC
2111,0.2456528618011476,0.2194328230851564,0.16707020246534884,0.14019217136262924,0.12854158122103912,0.11524805069895104,122,-71.94350943,-46.28714194,CHLSOC
2112,0.17087231998866706,0.2586005718764765,0.3085577932948557,0.2501353649873516,0.38793014264917197,NA,100,-72.09926057,-46.2222507,CHLSOC
2113,0.36519768578861667,0.3631370881084657,0.3577053604278298,0.3280735673382641,0.3664390096009303,NA,100,-71.83604749,-45.90280182,CHLSOC
2114,0.19365570858664563,0.17977642957169554,0.17900902417144168,0.18920200086447198,0.18779162609717098,0.21985227809606467,122,-71.72763736,-45.86700008,CHLSOC
2115,0.41682785556237134,0.409510512319285,0.37575885128588654,0.33238549437469955,0.43568204653682563,0.4072928030614495,106,-71.78873351,-45.78201941,CHLSOC
2116,0.4600047158762401,0.4367181687318923,0.3914671369700113,0.3496249026693215,0.3065824357588063,0.4045869744276125,178,-72.06091754,-45.75910861,CHLSOC
2117,0.40974244336607724,0.40928038627314034,0.4076183671090751,0.42933857621674015,0.41184966024175884,0.39491915268759836,124,-72.06522654,-45.84895919,CHLSOC
