id,soil depth,x,y,Fuente,profundidad,values
2,100,-72.25018236,-38.52993579,CIREN,0-5 cm,0.9354028096888032
3,110,-73.61357217,-43.05810882,CIREN,0-5 cm,0.5491229077480869
5,55,-72.92779275,-41.40870107,CIREN,0-5 cm,0.2728104908475125
9,110,-70.49254557,-30.21453801,CIREN,0-5 cm,1.753688568851976
11,75,-71.55958701,-37.32140125,CIREN,0-5 cm,1.3434196564535987
13,90,-72.85372633,-38.75430974,CIREN,0-5 cm,0.9892809658573728
14,150,-72.34361976,-37.04125953,CIREN,0-5 cm,1.529053728690151
16,140,-73.48005381,-37.6403617,CIREN,0-5 cm,1.0037320701253818
17,194,-73.15033359,-40.89952413,CIREN,0-5 cm,0.8589128253163343
18,62,-71.10365691,-29.93893802,CIREN,0-5 cm,1.595029972859356
19,140,-71.77681367,-36.43966806,CIREN,0-5 cm,0.7789378071270299
20,40,-72.66867232,-38.99493899,CIREN,0-5 cm,0.8913323303155245
23,100,-73.74758302,-40.60982964,CIREN,0-5 cm,0.8486050142575428
25,72,-72.3087817,-36.80166133,CIREN,0-5 cm,1.2506022689644245
27,120,-72.7780099,-36.07813227,CIREN,0-5 cm,1.2555156286856128
31,52,-71.04671782,-31.79538477,CIREN,0-5 cm,1.45942185949555
32,145,-72.56932765,-37.119555,CIREN,0-5 cm,1.1335580076399212
33,70,-72.30372855,-39.57174323,CIREN,0-5 cm,0.6161331468215192
34,116,-72.5239116,-37.49304885,CIREN,0-5 cm,1.2402280622344386
36,22,-71.47223803,-35.2250355,CIREN,0-5 cm,1.4840754140683237
38,100,-73.57472391,-39.95108189,CIREN,0-5 cm,0.8290542671225974
39,90,-71.00096324,-31.18121759,CIREN,0-5 cm,1.708245750467774
40,120,-72.79306731,-36.14330972,CIREN,0-5 cm,1.3475790186817456
41,120,-72.68493281,-38.49339137,CIREN,0-5 cm,0.7429108280436533
43,80,-71.81751048,-35.33015406,CIREN,0-5 cm,1.5884656923083844
44,110,-71.30088232,-34.2412442,CIREN,0-5 cm,1.1974069893233892
45,46,-70.80480633,-34.24504549,CIREN,0-5 cm,1.4927367464974868
46,61,-73.70337092,-42.6701328,CIREN,0-5 cm,0.722230897497488
47,97,-70.96713102,-34.36156575,CIREN,0-5 cm,1.6206125276971262
48,80,-70.62924987,-31.89242942,CIREN,0-5 cm,1.3796235006547326
49,93,-72.62896406,-37.42536011,CIREN,0-5 cm,1.2815355012296992
51,43,-70.66852326,-34.05130164,CIREN,0-5 cm,1.2352156020921266
52,22,-71.34305429,-33.7548122,CIREN,0-5 cm,1.7
54,32,-71.26313314,-30.0239802,CIREN,0-5 cm,1.38400078747047
55,125,-72.45431072,-36.63678676,CIREN,0-5 cm,1.2734515354956677
56,70,-72.6951066,-38.35393357,CIREN,0-5 cm,1.0013156007921062
57,105,-72.5231478,-37.56737951,CIREN,0-5 cm,1.201297889261051
58,120,-73.67901325,-42.92650527,CIREN,0-5 cm,0.5691192412704902
60,102,-71.08554048,-33.46097471,CIREN,0-5 cm,1.721198584378112
62,114,-70.66274515,-33.88263491,CIREN,0-5 cm,1.677835148905394
64,57,-71.00711776,-33.70499012,CIREN,0-5 cm,1.598407195634474
65,80,-72.80273466,-40.35160362,CIREN,0-5 cm,0.5374757989293415
66,55,-71.62194255,-35.9447662,CIREN,0-5 cm,1.5614201034614383
69,95,-72.85076127,-38.62270199,CIREN,0-5 cm,1.52872178600868
70,90,-71.2037072,-33.72942791,CIREN,0-5 cm,1.72166667923562
75,160,-72.57377605,-37.47245873,CIREN,0-5 cm,1.4077433554903356
76,120,-71.23870755,-29.92877384,CIREN,0-5 cm,1.61445123517242
77,55,-73.71098565,-42.30054301,CIREN,0-5 cm,0.6593644352867782
79,102,-71.86694072,-35.73096903,CIREN,0-5 cm,1.6982340581780229
82,140,-72.1081172,-36.7887521,CIREN,0-5 cm,1.4209238269493143
85,120,-73.26666548,-37.25275453,CIREN,0-5 cm,1.5770335523234604
89,100,-72.06041617,-38.9285299,CIREN,0-5 cm,1.1163043309399117
90,112,-72.53061634,-37.49544307,CIREN,0-5 cm,1.017380112934871
92,110,-72.9644769,-37.82363806,CIREN,0-5 cm,0.9019986460559384
94,130,-72.24699295,-36.49204391,CIREN,0-5 cm,1.3025147622246935
95,55,-70.985489,-31.78165262,CIREN,0-5 cm,1.3698640029672078
97,65,-73.55048343,-41.00433857,CIREN,0-5 cm,0.9121824039181408
99,115,-73.6990148,-41.90862962,CIREN,0-5 cm,0.6457256325036581
100,108,-72.19388675,-37.10810197,CIREN,0-5 cm,1.4575925615647372
101,170,-72.3252344,-36.84393826,CIREN,0-5 cm,1.3714502968697369
103,90,-72.49679156,-37.50914447,CIREN,0-5 cm,0.9762288918069488
106,22,-70.52628489,-29.90872361,CIREN,0-5 cm,1.45
107,150,-72.48689735,-37.92029767,CIREN,0-5 cm,1.1332480642754672
108,55,-70.70768854,-31.88039492,CIREN,0-5 cm,1.576819643415572
109,110,-72.64551053,-41.42352499,CIREN,0-5 cm,0.39135498551569103
110,140,-72.81492506,-37.09098692,CIREN,0-5 cm,1.5345265393782297
111,115,-72.55955021,-36.25919757,CIREN,0-5 cm,1.4452386869994134
112,70,-73.53773761,-37.32149028,CIREN,0-5 cm,0.9433322430621948
113,95,-70.8238261,-30.71132372,CIREN,0-5 cm,1.8087190607177437
115,120,-70.84505936,-33.71277502,CIREN,0-5 cm,1.6875224522266814
118,120,-72.74581314,-40.43428433,CIREN,0-5 cm,0.6073167151470474
119,118,-71.38793896,-33.28782342,CIREN,0-5 cm,1.8146298905840903
