id,soil depth,x,y,Fuente,profundidad,values
2,100,-72.25018236,-38.52993579,CIREN,0-5 cm,2.5
3,110,-73.61357217,-43.05810882,CIREN,0-5 cm,2.3190489442626085
5,55,-72.92779275,-41.40870107,CIREN,0-5 cm,2.5
9,110,-70.49254557,-30.21453801,CIREN,0-5 cm,2.5
11,75,-71.55958701,-37.32140125,CIREN,0-5 cm,2.5
13,90,-72.85372633,-38.75430974,CIREN,0-5 cm,2.5
14,150,-72.34361976,-37.04125953,CIREN,0-5 cm,2.5
16,140,-73.48005381,-37.6403617,CIREN,0-5 cm,2.5
17,194,-73.15033359,-40.89952413,CIREN,0-5 cm,2.5
18,62,-71.10365691,-29.93893802,CIREN,0-5 cm,2.5
19,140,-71.77681367,-36.43966806,CIREN,0-5 cm,2.5
20,40,-72.66867232,-38.99493899,CIREN,0-5 cm,2.5
23,100,-73.74758302,-40.60982964,CIREN,0-5 cm,2.5
25,72,-72.3087817,-36.80166133,CIREN,0-5 cm,2.5
27,120,-72.7780099,-36.07813227,CIREN,0-5 cm,2.5
31,52,-71.04671782,-31.79538477,CIREN,0-5 cm,2.5
32,145,-72.56932765,-37.119555,CIREN,0-5 cm,2.5
33,70,-72.30372855,-39.57174323,CIREN,0-5 cm,2.5
34,116,-72.5239116,-37.49304885,CIREN,0-5 cm,2.5
36,22,-71.47223803,-35.2250355,CIREN,0-5 cm,2.5
38,100,-73.57472391,-39.95108189,CIREN,0-5 cm,2.5
40,120,-72.79306731,-36.14330972,CIREN,0-5 cm,2.5
41,120,-72.68493281,-38.49339137,CIREN,0-5 cm,2.5
43,80,-71.81751048,-35.33015406,CIREN,0-5 cm,2.5
44,110,-71.30088232,-34.2412442,CIREN,0-5 cm,2.5
45,46,-70.80480633,-34.24504549,CIREN,0-5 cm,2.5
46,61,-73.70337092,-42.6701328,CIREN,0-5 cm,2.4559644379318373
47,97,-70.96713102,-34.36156575,CIREN,0-5 cm,2.5
48,80,-70.62924987,-31.89242942,CIREN,0-5 cm,2.5
49,93,-72.62896406,-37.42536011,CIREN,0-5 cm,2.5
51,43,-70.66852326,-34.05130164,CIREN,0-5 cm,2.5
52,22,-71.34305429,-33.7548122,CIREN,0-5 cm,25.9
54,32,-71.26313314,-30.0239802,CIREN,0-5 cm,2.5
