id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Source
2086,0.34364849624060145,0.34364849624060145,0.34476235230934477,0.38683992094291025,0.4295892553965559,NA,74,-72.66258565,-48.31854844,CHLSOC
2087,0.12519455700088403,0.11262551782003304,0.08000980922554257,0.07732099928612424,0.03885049582067104,NA,74,-72.66258565,-48.31854844,CHLSOC
2088,0.12525567004443805,0.13145045319123844,0.14692424645876082,0.16666843501855788,0.17721066959423376,NA,80,-72.34483909,-48.253207,CHLSOC
2089,0.1932284946236559,0.18264678209993676,0.14040196078431375,0.10271793959519293,NA,NA,31,-73.51804315,-47.79141855,CHLSOC
2090,0.407,0.407,0.407,NA,NA,NA,23,-73.07585168,-47.7001661,CHLSOC
2091,0.3157656865485781,0.29247755540753495,0.243089317294429,0.18636947519763708,0.1614675994670404,NA,74,-72.94555953,-47.48234204,CHLSOC
2092,0.13,0.13,NA,NA,NA,NA,8,-72.59043587,-47.2896276,CHLSOC
2093,0.25541867293012327,0.2436976291837933,0.2246243638676845,NA,NA,NA,25,-72.49085695,-47.26195015,CHLSOC
2094,0.21646710035751282,0.15150841509373122,0.1780466130829304,0.14223181354083037,NA,NA,58,-72.24317388,-47.23738386,CHLSOC
2096,0.20880471270279113,0.20802066482771517,0.20337483052036093,0.16856623063924717,NA,NA,56,-72.68752222,-47.14735727,CHLSOC
2097,0.1766819468024901,0.1812447651386531,0.19642860947435004,0.20472549019607844,NA,NA,36,-72.45635354,-47.11921865,CHLSOC
2098,0.22020991940036758,0.20578296461799364,0.19465074301801788,0.20875322308650737,NA,NA,47,-72.60890576,-47.1135525,CHLSOC
2099,0.11889230489401091,0.11426031844265108,0.09893008621068655,0.08794625842605802,0.02697175464086262,0.10089005429762862,120,-71.7001371,-46.54507242,CHLSOC
2100,0.11569344909376723,0.12273919388616186,0.1387436666794031,0.14213673679893904,0.135638537422157,NA,92,-71.73868062,-46.72717222,CHLSOC
2101,0.11052137655413385,0.11089657359179021,0.11234583230639905,0.11562080806204394,0.11744534514016894,NA,69,-71.8672515,-46.51644819,CHLSOC
2102,0.2797933183734092,0.22564964995560866,0.25228682949111336,0.2650704062407054,0.0756144979083059,NA,65,-72.53019162,-46.75176027,CHLSOC
2107,0.1263130207791815,0.10721789261101071,0.05745918273886228,0.0803004128311073,0.1467677537591629,NA,90,-72.71684099,-46.53849301,CHLSOC
2108,0.1222792132822242,0.10421443651935498,0.035839332927123456,0.1806776981440295,0.555311328669203,0.18043988840296168,168,-72.56091111,-46.12423387,CHLSOC
2109,0.15104653104354543,0.14515342782120624,0.13361377828740956,0.1384572372352486,0.19731371696397082,NA,90,-72.0735922,-46.10764901,CHLSOC
2110,0.08369909710913964,0.058828917088723856,0.04322990971684759,0.21792795269341425,0.19873428166584256,NA,97,-71.9530782,-46.23658086,CHLSOC
2111,0.1284481327512445,0.11465280984885673,0.08712938956991305,0.07312528389161152,0.06692759106871199,0.06008839797059417,122,-71.94350943,-46.28714194,CHLSOC
2112,0.08918214687684366,0.13483702497579234,0.16065330762115346,0.12980282175731286,0.20119860530315645,NA,100,-72.09926057,-46.2222507,CHLSOC
2113,0.1895912802282542,0.18882642764449498,0.18641157227337327,0.17035073619534075,0.1903863452834992,NA,100,-71.83604749,-45.90280182,CHLSOC
2114,0.1012691571135905,0.09369672726640858,0.09301836138942603,0.0984180255063468,0.0979514232955627,0.11505480080812752,122,-71.72763736,-45.86700008,CHLSOC
2115,0.21602969180013282,0.21226280598696518,0.19495478543393338,0.17348249996064863,0.22670852473705894,0.21174990776403954,106,-71.78873351,-45.78201941,CHLSOC
2116,0.23951858156672892,0.2274952376358424,0.20400488128800645,0.1817422717628519,0.15888459919197306,0.2200652404013477,178,-72.06091754,-45.75910861,CHLSOC
2117,0.21337576908495323,0.21314191047843564,0.21230036678893416,0.2232166865846632,0.21440623252956095,0.2055657690278224,124,-72.06522654,-45.84895919,CHLSOC
