ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
2090,INIA-UDEC_413,11,Lago Vargas,NA,NA,CHLSOC,NA,-73.07585168,-47.7001661,testigo,NA,0,23,14.1,59.4,26.6,-999,-999,0.723,0.407,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.71,19.1364,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,0,8,2.4,22.6,75.1,-999,0.95,0.251,0.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.76,2.8446,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,4,0,-999,-999,-999,-999,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0676,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,35,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13299,H1,4,Salamanca,NA,Seguel,UChile,Pedro Moreno,-70.83701663,-31.85816675,testigo,NA,0,30,15.62,25.35,59.03,-999,1.184,0.219,0.095,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13304,SD,13,Isla de Maipo,NA,Seguel,UChile,"Ibanez, 2009",-70.88198297,-33.74388703,testigo,Suelo Delgado,0,20,12,22.6,65.4,2.637,1.029,0.285,0.11,0.163,0.096,0.175,-999,-999,-999,-999,0.3617,-999,-999,-999,-999,-999,-999,-999
13314,T0,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,testigo,NA,0,20,21.1,20.6,58.3,2.55,1.37,0.239,0.136,0.148,0.082,0.103,-999,0.469,46.3,-999,0.28,1.85,-999,2,-999,-999,-999,-999
13314,TE,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃ³n orgÃ¡nica 10L/ha, concentracion 0.8ml/L",NA,0,20,19.9,24.2,55.9,2.6,1.47,0.246,0.153,0.168,0.071,0.093,-999,0.485,-999,-999,0.25,1.68,-999,2.1,-999,-999,-999,-999
13314,TM,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,mulch 20 Mg/ha,NA,0,20,21.2,23.4,55.4,2.61,1.37,0.263,0.144,0.148,0.075,0.119,-999,0.486,-999,-999,0.22,0.92,-999,2.3,-999,-999,-999,-999
13314,TME,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃ³n orgÃ¡nica 10L/ha, concentracion 0.8ml/L + mulch",NA,0,20,22.3,20.5,57.2,2.59,1.33,0.261,0.135,0.184,0.088,0.126,-999,0.533,-999,-999,0.21,1.73,-999,2.3,-999,-999,-999,-999
13361,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.27318617,-30.26458119,testigo,sitio 1,0,10,15.91,14.11,69.98,-999,-999,0.129399879,0.075459721,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.1,2.244632401,3.157,-999,-999,-999
13362,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.24713571,-30.26903342,testigo,sitio 12,0,10,14.28,29.19,56.53,-999,-999,0.101256785,0.074124464,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.06,1.917452064,2.023,-999,-999,-999
13363,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.30350192,-30.28107651,testigo,sitio 14,0,10,15.51,12.67,71.82,-999,-999,0.190047788,0.098317064,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.2,2.398536876,2.247,-999,-999,-999
13364,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28934527,-30.2764474,testigo,sitio 15,0,10,14.08,15.06,70.85,-999,-999,0.153761898,0.080849403,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.94,1.722648654,2.121,-999,-999,-999
13365,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.28232048,-30.2944213,testigo,sitio 16,0,10,13.69,13.99,72.32,-999,-999,0.114979242,0.069583363,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.17,4.810823111,4.977,-999,-999,-999
13366,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.23653019,-30.25542278,testigo,sitio 18,0,10,11.68,21.68,66.64,-999,-999,0.176290632,0.087141818,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.12,8.064870344,8.547,-999,-999,-999
13367,H1,4,Las Cardas,NA,Galleguillos,UChile,Nicolas Munnoz,-71.230334010000007,-30.27095927,testigo,sitio 19,0,10,8.73,20.09,71.18,-999,-999,0.193526608,0.094600196,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.2,2.751814462,2.107,-999,-999,-999
