ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
595,Doetterl_1,4,NA,2015,NA,CHLSOC,NA,-71.25071,-30.20157,testigo,NA,0,10,35,41,24,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.13784,-999,-999,-999,-999
596,Doetterl_10,9,NA,2015,NA,CHLSOC,NA,-73.38968,-38.77412,testigo,NA,0,10,10,67,23,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.56836,-999,-999,-999,-999
597,Doetterl_11,14,NA,2015,NA,CHLSOC,NA,-72.1112,-39.85941,testigo,NA,0,10,61,31,7,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.87828,-999,-999,-999,-999
598,Doetterl_12,14,NA,2015,NA,CHLSOC,NA,-73.41283,-39.93245,testigo,NA,0,10,38,57,6,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.8268,-999,-999,-999,-999
599,Doetterl_13,10,NA,2015,NA,CHLSOC,NA,-73.15404,-40.9034,testigo,NA,0,10,15,45,40,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.32652,-999,-999,-999,-999
600,Doetterl_14,10,NA,2015,NA,CHLSOC,NA,-73.82429,-42.42186,testigo,NA,0,10,15,62,23,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.27416,-999,-999,-999,-999
601,Doetterl_15,10,NA,2015,NA,CHLSOC,NA,-73.61712,-43.05791,testigo,NA,0,10,32,60,8,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.56692,-999,-999,-999,-999
602,Doetterl_16,11,NA,2015,NA,CHLSOC,NA,-72.39653,-43.96393,testigo,NA,0,10,24,64,12,-999,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.8948,-999,-999,-999,-999
603,Doetterl_17,11,NA,2015,NA,CHLSOC,NA,-72.81482,-45.48736,testigo,NA,0,10,36,56,8,-999,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.15356,-999,-999,-999,-999
604,Doetterl_18,11,NA,2015,NA,CHLSOC,NA,-72.90757,-45.78639,testigo,NA,0,10,24,52,19,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.48216,-999,-999,-999,-999
605,Doetterl_19,11,NA,2015,NA,CHLSOC,NA,-72.61276,-46.56823,testigo,NA,0,10,41,45,14,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.82656,-999,-999,-999,-999
606,Doetterl_2,4,NA,2015,NA,CHLSOC,NA,-71.50008,-31.81284,testigo,NA,0,10,78,15,7,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.27576,-999,-999,-999,-999
607,Doetterl_20,12,NA,2015,NA,CHLSOC,NA,-72.16487999,-51.80696,testigo,NA,0,10,43,45,12,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.10248,-999,-999,-999,-999
608,Doetterl_21,12,NA,2015,NA,CHLSOC,NA,-70.9886,-53.43267,testigo,NA,0,10,41,39,20,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.36076,-999,-999,-999,-999
609,Doetterl_22,12,NA,2015,NA,CHLSOC,NA,-70.36106001,-53.31478,testigo,NA,0,10,28,51,21,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.56804,-999,-999,-999,-999
610,Doetterl_3,5,NA,2015,NA,CHLSOC,NA,-70.52162,-32.87609,testigo,NA,0,10,20,57,23,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.17216,-999,-999,-999,-999
611,Doetterl_4,13,NA,2015,NA,CHLSOC,NA,-71.14047,-33.99911,testigo,NA,0,10,46,36,18,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.46532,-999,-999,-999,-999
612,Doetterl_5,13,NA,2015,NA,CHLSOC,NA,-70.83241999,-33.4778,testigo,NA,0,10,25,52,23,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.74108,-999,-999,-999,-999
613,Doetterl_6,5,NA,2015,NA,CHLSOC,NA,-71.61243,-33.33901,testigo,NA,0,10,41,45,16,-999,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.22396,-999,-999,-999,-999
614,Doetterl_7,6,NA,2015,NA,CHLSOC,NA,-71.87564,-33.96865,testigo,NA,0,10,16,65,19,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.5168,-999,-999,-999,-999
