ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,0,8,2.4,22.6,75.1,-999,0.95,0.251,0.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.76,2.8446,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,4,0,-999,-999,-999,-999,0.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.0676,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,8,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,35,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13314,T0,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,testigo,NA,0,20,21.1,20.6,58.3,2.55,1.37,0.239,0.136,0.148,0.082,0.103,-999,0.469,46.3,-999,0.28,1.85,-999,2,-999,-999,-999,-999
13314,TE,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃƒÂ³n orgÃƒÂ¡nica 10L/ha, concentracion 0.8ml/L",NA,0,20,19.9,24.2,55.9,2.6,1.47,0.246,0.153,0.168,0.071,0.093,-999,0.485,-999,-999,0.25,1.68,-999,2.1,-999,-999,-999,-999
13314,TM,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,mulch 20 Mg/ha,NA,0,20,21.2,23.4,55.4,2.61,1.37,0.263,0.144,0.148,0.075,0.119,-999,0.486,-999,-999,0.22,0.92,-999,2.3,-999,-999,-999,-999
13314,TME,6,Apalta,NA,Seguel,UChile,"Traub, 2010",-71.24598787,-34.60985369,"emulsiÃƒÂ³n orgÃƒÂ¡nica 10L/ha, concentracion 0.8ml/L + mulch",NA,0,20,22.3,20.5,57.2,2.59,1.33,0.261,0.135,0.184,0.088,0.126,-999,0.533,-999,-999,0.21,1.73,-999,2.3,-999,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2037",-72.32118153,-35.44343165,testigo,NA,0,20,18.2,15.4,66.4,-999,1.166,0.202,0.082,0.123,0.123,0.139,-999,-999,10.5,-999,-999,0.786792453,5.43,4.161549873,44.8,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2038",-72.32118153,-35.44343165,testigo,NA,20,40,-999,-999,-999,-999,1.424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13417,Pino_Cte_5,7,Purapel,NA,Galleguillos,UChile,"Soto et al., 2039",-72.32118153,-35.44343165,testigo,NA,40,60,-999,-999,-999,-999,1.356,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13484,SF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.32416619,-33.56694468,testigo,Bosque esclerofilo,0,10,15.53,29,55.47,-999,1.53,0.358,0.196,-999,-999,-999,-999,0.5565,-999,-999,-999,-999,-999,9.821,0.38,-999,-999,-999
13485,ASF,13,Los Andes,NA,Seguel,UChile,Perez-Quezada,-70.21666703,-33.49416698,testigo,Bosque esclerofilo andino,0,10,17.2,21.6,61.19,-999,1.53,0.2615,0.2054,-999,-999,-999,-999,0.424,-999,-999,-999,-999,-999,12.1948,0.48,-999,-999,-999
