ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,A,L,a,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
52,CDG,13,NA,NA,NA,CIREN,NA,-71.34305429,-33.7548122,testigo,NA,0,22,19.7,25.9,54.4,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
52,CDG,13,NA,NA,NA,CIREN,NA,-71.34305429,-33.7548122,testigo,NA,22,40,0.2,4.9,94.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
52,CDG,13,NA,NA,NA,CIREN,NA,-71.34305429,-33.7548122,testigo,NA,40,55,0,1.8,98.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
52,CDG,13,NA,NA,NA,CIREN,NA,-71.34305429,-33.7548122,testigo,NA,55,70,0,1.7,98.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
52,CDG,13,NA,NA,NA,CIREN,NA,-71.34305429,-33.7548122,testigo,NA,70,100,0,0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
106,CPI,4,NA,NA,NA,CIREN,NA,-70.52628489,-29.90872361,testigo,NA,0,22,14.4,39,46,-999,1.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
223,LNS,7,NA,NA,NA,CIREN,NA,-71.50087838,-35.61925878,testigo,NA,0,18,21.9,30.4,47.7,-999,1.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
223,LNS,7,NA,NA,NA,CIREN,NA,-71.50087838,-35.61925878,testigo,NA,18,32,5.6,12.5,81.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
223,LNS,7,NA,NA,NA,CIREN,NA,-71.50087838,-35.61925878,testigo,NA,32,50,5,11.1,84.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
229,LON,13,NA,NA,NA,CIREN,NA,-70.91952076,-33.64040225,testigo,NA,0,16,19.6,30.2,50.2,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
229,LON,13,NA,NA,NA,CIREN,NA,-70.91952076,-33.64040225,testigo,NA,16,33,16.8,30.1,53.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
229,LON,13,NA,NA,NA,CIREN,NA,-70.91952076,-33.64040225,testigo,NA,33,50,11.8,28.2,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
229,LON,13,NA,NA,NA,CIREN,NA,-70.91952076,-33.64040225,testigo,NA,50,75,7.3,20.3,72.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
229,LON,13,NA,NA,NA,CIREN,NA,-70.91952076,-33.64040225,testigo,NA,75,100,2.4,8.3,89.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
324,PCL,4,NA,NA,NA,CIREN,NA,-71.11898352,-29.94852593,testigo,NA,0,39,8.5,18.4,73.1,-999,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
324,PCL,4,NA,NA,NA,CIREN,NA,-71.11898352,-29.94852593,testigo,NA,39,100,3.1,10.8,86.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
418,RUP,10,NA,NA,NA,CIREN,NA,-72.89493984,-40.75462468,testigo,NA,0,27,15.9,29.6,54.5,-999,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
418,RUP,10,NA,NA,NA,CIREN,NA,-72.89493984,-40.75462468,testigo,NA,27,61,-999,-999,-999,-999,1.32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
418,RUP,10,NA,NA,NA,CIREN,NA,-72.89493984,-40.75462468,testigo,NA,61,76,-999,-999,-999,-999,1.34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
418,RUP,10,NA,NA,NA,CIREN,NA,-72.89493984,-40.75462468,testigo,NA,76,107,-999,-999,-999,-999,1.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
420,SAN,4,NA,NA,NA,CIREN,NA,-71.2435823,-30.00284492,testigo,NA,0,26,6.1,21.7,72.3,-999,1.69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
428,SJV,7,NA,NA,NA,CIREN,NA,-71.74254054,-35.61670072,testigo,NA,0,20,5.5,16.2,78.3,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
428,SJV,7,NA,NA,NA,CIREN,NA,-71.74254054,-35.61670072,testigo,NA,20,46,2.9,11.7,85.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
428,SJV,7,NA,NA,NA,CIREN,NA,-71.74254054,-35.61670072,testigo,NA,46,110,1.4,7.6,91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
595,Doetterl_1,4,NA,2015,NA,CHLSOC,NA,-71.25071,-30.20157,testigo,NA,0,10,35,41,24,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.13784,-999,-999,-999,-999
596,Doetterl_10,9,NA,2015,NA,CHLSOC,NA,-73.38968,-38.77412,testigo,NA,0,10,10,67,23,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.56836,-999,-999,-999,-999
597,Doetterl_11,14,NA,2015,NA,CHLSOC,NA,-72.1112,-39.85941,testigo,NA,0,10,61,31,7,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.87828,-999,-999,-999,-999
598,Doetterl_12,14,NA,2015,NA,CHLSOC,NA,-73.41283,-39.93245,testigo,NA,0,10,38,57,6,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.8268,-999,-999,-999,-999
599,Doetterl_13,10,NA,2015,NA,CHLSOC,NA,-73.15404,-40.9034,testigo,NA,0,10,15,45,40,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.32652,-999,-999,-999,-999
600,Doetterl_14,10,NA,2015,NA,CHLSOC,NA,-73.82429,-42.42186,testigo,NA,0,10,15,62,23,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.27416,-999,-999,-999,-999
601,Doetterl_15,10,NA,2015,NA,CHLSOC,NA,-73.61712,-43.05791,testigo,NA,0,10,32,60,8,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.56692,-999,-999,-999,-999
602,Doetterl_16,11,NA,2015,NA,CHLSOC,NA,-72.39653,-43.96393,testigo,NA,0,10,24,64,12,-999,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21.8948,-999,-999,-999,-999
603,Doetterl_17,11,NA,2015,NA,CHLSOC,NA,-72.81482,-45.48736,testigo,NA,0,10,36,56,8,-999,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.15356,-999,-999,-999,-999
604,Doetterl_18,11,NA,2015,NA,CHLSOC,NA,-72.90757,-45.78639,testigo,NA,0,10,24,52,19,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.48216,-999,-999,-999,-999
605,Doetterl_19,11,NA,2015,NA,CHLSOC,NA,-72.61276,-46.56823,testigo,NA,0,10,41,45,14,-999,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.82656,-999,-999,-999,-999
606,Doetterl_2,4,NA,2015,NA,CHLSOC,NA,-71.50008,-31.81284,testigo,NA,0,10,78,15,7,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.27576,-999,-999,-999,-999
607,Doetterl_20,12,NA,2015,NA,CHLSOC,NA,-72.16487999,-51.80696,testigo,NA,0,10,43,45,12,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.10248,-999,-999,-999,-999
608,Doetterl_21,12,NA,2015,NA,CHLSOC,NA,-70.9886,-53.43267,testigo,NA,0,10,41,39,20,-999,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.36076,-999,-999,-999,-999
609,Doetterl_22,12,NA,2015,NA,CHLSOC,NA,-70.36106001,-53.31478,testigo,NA,0,10,28,51,21,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.56804,-999,-999,-999,-999
610,Doetterl_3,5,NA,2015,NA,CHLSOC,NA,-70.52162,-32.87609,testigo,NA,0,10,20,57,23,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.17216,-999,-999,-999,-999
611,Doetterl_4,13,NA,2015,NA,CHLSOC,NA,-71.14047,-33.99911,testigo,NA,0,10,46,36,18,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.46532,-999,-999,-999,-999
612,Doetterl_5,13,NA,2015,NA,CHLSOC,NA,-70.83241999,-33.4778,testigo,NA,0,10,25,52,23,-999,1.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.74108,-999,-999,-999,-999
613,Doetterl_6,5,NA,2015,NA,CHLSOC,NA,-71.61243,-33.33901,testigo,NA,0,10,41,45,16,-999,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.22396,-999,-999,-999,-999
614,Doetterl_7,6,NA,2015,NA,CHLSOC,NA,-71.87564,-33.96865,testigo,NA,0,10,16,65,19,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.5168,-999,-999,-999,-999
615,Doetterl_8,16,NA,2015,NA,CHLSOC,NA,-71.69721,-36.45816,testigo,NA,0,10,21,66,13,-999,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.41296,-999,-999,-999,-999
616,Doetterl_9,8,NA,2015,NA,CHLSOC,NA,-73.26686,-37.25344,testigo,NA,0,10,16,68,16,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.60308,-999,-999,-999,-999
2092,INIA-UDEC_416,11,NA,NA,NA,CHLSOC,NA,-72.59043587,-47.2896276,testigo,NA,0,8,2.4,22.6,75.1,-999,0.95,0.251,0.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.76,2.8446,-999,-999,-999,-999
