id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2,0.9354031293060147,0.9420511845855776,0.9692760914668589,1.073348825746447,0.8686995794942952,NA,100,-72.25018236,-38.52993579,CIREN
3,0.5491071822277324,0.6615788772244279,0.6152387311798658,0.4246465018639814,0.4887191529239032,0.535129538967148,110,-73.61357217,-43.05810882,CIREN
5,0.27279511758268116,0.5342488303397696,0.6657924300743226,0.7081568812935702,NA,NA,55,-72.92779275,-41.40870107,CIREN
9,1.753691697790875,1.7364672847629619,1.6677031552329213,1.4358278400059927,1.1423337608307025,1.0533543124446463,110,-70.49254557,-30.21453801,CIREN
11,1.3434110566290343,1.4048701998063877,1.5736600475334117,1.6499949620277512,1.6043739983565621,NA,75,-71.55958701,-37.32140125,CIREN
13,0.9892745829468903,1.034864062401195,1.0511197938537826,1.0130871858206791,1.0376323545704116,NA,90,-72.85372633,-38.75430974,CIREN
14,1.529053261573454,1.5302459586119967,1.5318057058265724,1.5112492882746649,1.5740308344428353,1.690171745952968,150,-72.34361976,-37.04125953,CIREN
16,1.0037333911887012,1.0018608712153252,0.9945602351985825,1.0063695361951812,1.0771163961525196,0.8786906562712872,140,-73.48005381,-37.6403617,CIREN
17,0.8589129397175518,0.8601176983014872,0.8662548467799706,0.9051696301590199,0.9137323561765025,0.7167026907677196,194,-73.15033359,-40.89952413,CIREN
18,1.5950285552285368,1.5999166883267444,1.608922220554909,1.5164007540780942,1.4684284469595128,NA,62,-71.10365691,-29.93893802,CIREN
19,0.7789302717359244,0.8054738256879346,0.8842997976514988,0.90485929634998985,0.8954410242234716,0.9928749579945038,140,-71.77681367,-36.43966806,CIREN
20,0.8913404303310072,0.8315536098476314,0.6831893576896045,0.6785579741294604,NA,NA,40,-72.66867232,-38.99493899,CIREN
23,0.8485973182380065,0.9566622651066058,1.1394231616178947,1.3671813098052654,1.2534996565995302,NA,100,-73.74758302,-40.60982964,CIREN
25,1.2505908973504567,1.3128357784582405,1.4938929379055357,1.6235104031471255,1.8389332248800045,NA,72,-72.3087817,-36.80166133,CIREN
27,1.255518454488834,1.241881487104386,1.1926995731978676,1.1328315263920752,1.0393404015279315,0.8879242197188875,120,-72.7780099,-36.07813227,CIREN
31,1.459418628264704,1.495079603662453,1.6236111580127122,1.7680795746240585,NA,NA,52,-71.04671782,-31.79538477,CIREN
32,1.1335572367770725,1.1250316584381639,1.0710104857604017,1.1212278287998596,1.1045055406382296,1.106461127861609,145,-72.56932765,-37.119555,CIREN
33,0.6161325454565575,0.6184295325896048,0.6270996790842492,0.6212575235256272,0.6045641847902634,NA,70,-72.30372855,-39.57174323,CIREN
34,1.24022432266217,1.235165197728647,1.1108411633598103,1.0945896451430972,1.005534765556347,1.086456901197148,116,-72.5239116,-37.49304885,CIREN
36,1.4840893595125844,1.246772472150152,0.9504559066041461,NA,NA,NA,22,-71.47223803,-35.2250355,CIREN
38,0.8290554087729936,0.8386730568259096,0.8844663423919094,1.1237276765988173,0.8349179857616922,NA,100,-73.57472391,-39.95108189,CIREN
39,1.7082399379092663,1.7364371455303744,1.8466584685888676,1.967383146017208,1.9414810282979786,NA,90,-71.00096324,-31.18121759,CIREN
