id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
595,1.13784,1.13784,NA,NA,NA,NA,10,-71.25071,-30.20157,CHLSOC
596,7.56836,7.56836,NA,NA,NA,NA,10,-73.38968,-38.77412,CHLSOC
597,12.87828,12.87828,NA,NA,NA,NA,10,-72.1112,-39.85941,CHLSOC
598,9.8268,9.8268,NA,NA,NA,NA,10,-73.41283,-39.93245,CHLSOC
599,13.32652,13.32652,NA,NA,NA,NA,10,-73.15404,-40.9034,CHLSOC
600,21.27416,21.27416,NA,NA,NA,NA,10,-73.82429,-42.42186,CHLSOC
601,25.56692,25.56692,NA,NA,NA,NA,10,-73.61712,-43.05791,CHLSOC
602,21.8948,21.8948,NA,NA,NA,NA,10,-72.39653,-43.96393,CHLSOC
603,20.15356,20.15356,NA,NA,NA,NA,10,-72.81482,-45.48736,CHLSOC
604,7.48216,7.48216,NA,NA,NA,NA,10,-72.90757,-45.78639,CHLSOC
605,12.82656,12.82656,NA,NA,NA,NA,10,-72.61276,-46.56823,CHLSOC
606,1.27576,1.27576,NA,NA,NA,NA,10,-71.50008,-31.81284,CHLSOC
607,12.10248,12.10248,NA,NA,NA,NA,10,-72.16487999,-51.80696,CHLSOC
608,16.36076,16.36076,NA,NA,NA,NA,10,-70.9886,-53.43267,CHLSOC
609,11.56804,11.56804,NA,NA,NA,NA,10,-70.36106001,-53.31478,CHLSOC
610,3.17216,3.17216,NA,NA,NA,NA,10,-70.52162,-32.87609,CHLSOC
611,2.46532,2.46532,NA,NA,NA,NA,10,-71.14047,-33.99911,CHLSOC
612,3.74108,3.74108,NA,NA,NA,NA,10,-70.83241999,-33.4778,CHLSOC
613,2.22396,2.22396,NA,NA,NA,NA,10,-71.61243,-33.33901,CHLSOC
614,5.5168,5.5168,NA,NA,NA,NA,10,-71.87564,-33.96865,CHLSOC
615,10.41296,10.41296,NA,NA,NA,NA,10,-71.69721,-36.45816,CHLSOC
616,4.60308,4.60308,NA,NA,NA,NA,10,-73.26686,-37.25344,CHLSOC
2091,2.5,2.5,2.5,1.7605959118246923,0.7560765168153094,NA,74,-72.94555953,-47.48234204,CHLSOC
2092,2.8446,2.8446,NA,NA,NA,NA,8,-72.59043587,-47.2896276,CHLSOC
2099,2.5,2.5,1.854966156829931,0.7781373781355653,0.2565284426000416,0.24542445398603024,120,-71.7001371,-46.54507242,CHLSOC
2101,0.8228863997796734,0.8138710540221641,0.7840738136196989,0.906579380948055,1.0635423248691591,NA,69,-71.8672515,-46.51644819,CHLSOC
2102,2.5,2.5,2.5,2.5,2.5,NA,65,-72.53019162,-46.75176027,CHLSOC
2107,2.5,2.5,2.4126421002425777,1.9624794535971348,2.5,NA,80,-72.71684099,-46.53849301,CHLSOC
2108,2.5,2.5,2.5,2.5,2.5,2.3504977266060454,168,-72.56091111,-46.12423387,CHLSOC
2109,2.5,2.5,1.7420700270040712,1.1729943091995416,1.2486877856589127,NA,90,-72.0735922,-46.10764901,CHLSOC
2110,2.5,2.5,2.5,2.4956865745668915,2.1120551157588987,NA,97,-71.9530782,-46.23658086,CHLSOC
2111,2.5,2.5,1.8680315015428537,1.239909650345801,0.8631408713924995,0.32041683363825807,122,-71.94350943,-46.28714194,CHLSOC
2112,2.5,2.5,2.4719897164626525,0.8977500512100026,1.3914070664266034,NA,100,-72.09926057,-46.2222507,CHLSOC
2113,2.5,2.5,2.5,2.5,2.133817206815736,NA,100,-71.83604749,-45.90280182,CHLSOC
2115,2.5,2.5,2.5,2.096650366530199,2.285061630485894,1.9283086538798433,106,-71.78873351,-45.78201941,CHLSOC
2116,2.5,2.5,2.5,2.2218654097782844,1.1066442555181204,1.8069488692919404,178,-72.06091754,-45.75910861,CHLSOC
2117,2.5,2.5,2.5,2.461080964505157,1.2436840163118472,0.9025665203256222,124,-72.06522654,-45.84895919,CHLSOC
2118,2.5,2.5,2.5,2.480556337426094,2.5,NA,80,-72.11269808,-45.75145597,CHLSOC
2119,2.5,2.5,2.5,2.5,2.2702763336722565,NA,80,-72.19405994,-45.69169256,CHLSOC
