id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2086,0.3426836803766067,0.3426836803766067,0.3438232145192254,0.3868708105613491,0.4306056588520414,NA,74,-72.66258565,-48.31854844,CHLSOC
2087,0.12773609755530474,0.11365344179042965,0.07764768750970444,0.07913800686308517,0.03798958097507685,NA,74,-72.66258565,-48.31854844,CHLSOC
2088,0.12476196908636228,0.13116401753899906,0.14709358441014858,0.1670245672235096,0.17732200318361624,NA,80,-72.34483909,-48.253207,CHLSOC
2089,0.1935787684563645,0.18329909687127774,0.14226009790755928,0.10565171708438983,NA,NA,31,-73.51804315,-47.79141855,CHLSOC
2090,0.407,0.407,0.407,NA,NA,NA,23,-73.07585168,-47.7001661,CHLSOC
2091,0.31734350774686676,0.2931796038191853,0.24225804062457623,0.18535794251047902,0.16117254785983473,NA,74,-72.94555953,-47.48234204,CHLSOC
2092,0.13,0.13,NA,NA,NA,NA,8,-72.59043587,-47.2896276,CHLSOC
2093,0.25622991819469587,0.24394685393562646,0.22395903129983097,NA,NA,NA,25,-72.49085695,-47.26195015,CHLSOC
2094,0.22733887821719148,0.14267571460119038,0.18126991490733296,0.14143886128885708,NA,NA,58,-72.24317388,-47.23738386,CHLSOC
2096,0.2086028029200023,0.20807303994134294,0.20421435404690497,0.1682542632927496,NA,NA,56,-72.68752222,-47.14735727,CHLSOC
2097,0.17620517152352227,0.18091992664571996,0.1966093761442902,0.20518253378482157,NA,NA,36,-72.45635354,-47.11921865,CHLSOC
2098,0.22109322365431458,0.2051301807465014,0.19299176143123214,0.20905567473352188,NA,NA,47,-72.60890576,-47.1135525,CHLSOC
2099,0.12046230827083039,0.11509066009616953,0.09761825059238537,0.09011889861117867,0.02245312680949789,0.10147370915628624,120,-71.7001371,-46.54507242,CHLSOC
2100,0.11475506038122797,0.12239453679950264,0.13962865208183647,0.14249399362968396,0.13547297385792137,NA,92,-71.73868062,-46.72717222,CHLSOC
2101,0.11046673056070855,0.1108480930798377,0.11232107655562296,0.11564625000720065,0.11749715732077977,NA,69,-71.8672515,-46.51644819,CHLSOC
2102,0.2851250886063997,0.21770496464813469,0.24822445672353038,0.27605659009861344,0.06452243585510639,NA,65,-72.53019162,-46.75176027,CHLSOC
2107,0.12923243233280668,0.10980866525902144,0.05659342077041169,0.08538713956080604,0.14579400958227146,NA,90,-72.71684099,-46.53849301,CHLSOC
2108,0.13945807336229485,0.11523464072755372,0.03025401402444824,0.1649448882080049,0.5646259009533984,0.16966203907610872,168,-72.56091111,-46.12423387,CHLSOC
2109,0.1517831588498237,0.14549922909871943,0.1328935836417362,0.1366339637546446,0.19750380249372812,NA,90,-72.0735922,-46.10764901,CHLSOC
2110,0.08726172915683407,0.055752942358362666,0.030677890472196236,0.21853909843370156,0.19959072989204543,NA,97,-71.9530782,-46.23658086,CHLSOC
2111,0.13029283402578942,0.11517645520233696,0.0854385337582397,0.07251906668043845,0.06714443888837579,0.05993163694970136,122,-71.94350943,-46.28714194,CHLSOC
2112,0.08549007302578811,0.13802194121581227,0.1661893614899417,0.12870145830869947,0.20464506827415194,NA,100,-72.09926057,-46.2222507,CHLSOC
2113,0.1893899638328071,0.18908758311996204,0.18721467955963864,0.16922935353264695,0.19070088820653966,NA,100,-71.83604749,-45.90280182,CHLSOC
2114,0.10215173577282087,0.09234689747665115,0.09159762325018357,0.09918083063680101,0.0975905835068949,0.1155753292525645,122,-71.72763736,-45.86700008,CHLSOC
2115,0.21618677610028064,0.2128768647847086,0.1960226435873188,0.16885759341096387,0.22770845341468474,0.208529792385862,106,-71.78873351,-45.78201941,CHLSOC
2116,0.24209722846402193,0.22819749485338686,0.20243269432815716,0.18098942430704684,0.15738338329908547,0.22310360386525713,178,-72.06091754,-45.75910861,CHLSOC
2117,0.2144077500923708,0.2137015486324458,0.21103791131545216,0.22581585563608786,0.21406769246473215,0.20673360434356558,124,-72.06522654,-45.84895919,CHLSOC
2118,0.22138803952772718,0.23144907404192758,0.22784491519645045,0.16648002531033915,0.16905174527300135,NA,80,-72.11269808,-45.75145597,CHLSOC
2119,0.3155320021307086,0.33967791617048543,0.28132717411938163,0.1528311052529073,0.20367006047957692,NA,80,-72.19405994,-45.69169256,CHLSOC
2120,0.1695020598716472,0.1542080314660307,0.12330062553454535,0.14833729122569264,0.16849756785201672,NA,94,-72.19467987,-45.59553961,CHLSOC
2121,0.29679866918290276,0.23989120371772524,0.1777795001574248,0.16639100479951763,0.16441748330084285,0.13641786953499727,118,-72.01347312,-45.57205753,CHLSOC
2122,0.16993475479462206,0.17172453722683945,0.1761876063845871,0.20060334061447763,0.2099147997082371,0.16611231516527203,155,-72.00266047,-45.44787081,CHLSOC
2124,0.1862174022935658,0.16959922506130407,0.20095879047612092,0.19011955702580094,0.1726749188307693,NA,88,-72.60571986,-45.35511452,CHLSOC
2126,0.24097548820739098,0.20774783150966727,0.13794102750924123,0.23269139400872205,0.12652049749865255,0.1711698338678932,130,-72.27508941,-45.86483568,CHLSOC
2127,0.19196909850119603,0.1744331870492838,0.15010786229373096,0.13350559923271607,0.1153291480905046,0.15143483756449255,116,-71.52774381,-45.37193228,CHLSOC
2128,0.2036155632735934,0.19693943987057747,0.18590786744315033,0.20974684019038844,0.1994998145212787,NA,80,-71.87770767,-45.13722744,CHLSOC
2129,0.2432728736551696,0.25104823982623903,0.2679621662163482,0.27612549528390584,NA,NA,39,-71.86727854,-44.68611968,CHLSOC
2130,0.16770947651900317,0.1749175666953981,0.19117653934705342,0.1758124543952118,0.1734820212456543,NA,76,-71.50750907,-44.58309702,CHLSOC
2131,0.31194692992919204,0.21210295665569914,0.12446846611053258,0.2272318735181584,0.17774962600415833,0.14347991248336855,128,-72.61459953,-44.75686683,CHLSOC
2133,0.2043075983842358,0.19052947056042982,0.11863026701206428,0.10321102790925321,0.16635061669328596,0.44070467163652843,110,-72.43321968,-44.0476353,CHLSOC
2134,0.0375956166188762,0.029358579932072,0.027471439399322728,0.034950970838586413,0.029924172037998135,0.02655757702342247,110,-72.9556333,-43.76477928,CHLSOC
2135,0.2044226270554125,0.13895905796635294,0.13802178193229336,0.180776427184423,0.13173510050459192,0.2649434523765686,130,-72.36576661,-43.84824399,CHLSOC
2136,0.08439404481377236,0.07984294353101636,0.09054639440472387,0.10808179744402661,0.11142410343939906,0.08898686821700125,146,-72.31638957,-43.98892261,CHLSOC
13238,0.1723082436524675,0.18893973631677963,0.21225024296838918,0.2816887359252885,0.3305982455971556,0.32092872538807704,110,-72.49579,-36.026772,UChile
13239,0.24141907086165462,0.22786697011192728,0.19931118514694077,0.18029663603301652,0.19184735795868826,0.20648437983156975,130,-72.495196000000007,-36.032014,UChile
13240,0.3111265447205714,0.3043629882626293,0.286476378075688,0.2845688509819739,0.270033681725491,0.2542026353352672,148,-72.481449,-35.992856,UChile
13241,0.247929338275856,0.28379030990574117,0.34357731258872526,0.3426858950741675,0.2690538905170761,0.22313774400050118,168,-72.474423,-35.994734,UChile
13242,0.16333869768346967,0.19662004568396385,0.22077156470208212,0.17873830000299948,0.16408918458879798,0.1736192166461192,150,-72.3938838,-35.79776622,UChile
13243,0.15486907499383,0.18277956916123603,0.22541214997843856,0.20776950491255672,0.167899333524386,0.16230541179977767,140,-72.39300105,-35.79831744,UChile
13244,0.24206734545448608,0.23179930256471598,0.1996269443572422,0.16128596164051104,0.15209749068813083,0.1642898496636019,140,-72.39346647,-35.79806759,UChile
