id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2,0.9354028096888031,0.9420523577516128,0.9692808926116171,1.0733459434023058,0.8687007840087203,NA,100,-72.25018236,-38.52993579,CIREN
3,0.5491229077480869,0.6615664333404532,0.615228190166128,0.4246568750320659,0.48871594215901215,0.5351294091912384,110,-73.61357217,-43.05810882,CIREN
5,0.2728104908475125,0.5342314766031262,0.6657892716194631,0.7081563106592955,NA,NA,55,-72.92779275,-41.40870107,CIREN
9,1.7536885688519759,1.7364643249346368,1.6677008705359575,1.4358278318781976,1.142336634249704,1.0533580594705199,110,-70.49254557,-30.21453801,CIREN
11,1.3434196564535987,1.4048747250795623,1.5736550215503806,1.649993559613835,1.6043763471896217,NA,75,-71.55958701,-37.32140125,CIREN
13,0.9892809658573729,1.03486174516499,1.0511160817021024,1.0130900398937677,1.0376316782572261,NA,90,-72.85372633,-38.75430974,CIREN
14,1.5290537286901513,1.5302460938080082,1.531804871884972,1.5112498809012385,1.57403152436665,1.690170643713505,150,-72.34361976,-37.04125953,CIREN
16,1.0037320701253818,1.0018600492396295,0.9945613786384868,1.0063719636054276,1.077110684412247,0.8786917000443729,140,-73.48005381,-37.6403617,CIREN
17,0.8589128253163343,0.8601179522156651,0.866256200627898,0.9051698644924769,0.913727749756175,0.7167055397690909,194,-73.15033359,-40.89952413,CIREN
18,1.595029972859356,1.5999171707100397,1.60891996134222,1.5164019057421054,1.4684320344811705,NA,62,-71.10365691,-29.93893802,CIREN
19,0.7789378071270299,0.8054775783595779,0.8842934020562851,0.9048578578720149,0.8954444817320103,0.9928732403086088,140,-71.77681367,-36.43966806,CIREN
20,0.8913323303155245,0.831550275383064,0.6831956480109538,0.6785568409014016,NA,NA,40,-72.66867232,-38.99493899,CIREN
23,0.8486050142575428,0.9566623746582329,1.1394211107124899,1.3671730105266986,1.2534972961182187,NA,100,-73.74758302,-40.60982964,CIREN
25,1.2506022689644243,1.31284175189363,1.4938861507078272,1.6235165863788732,1.838930151463281,NA,72,-72.3087817,-36.80166133,CIREN
27,1.2555156286856128,1.241879539357553,1.1927006551614465,1.1328327547071073,1.0393382883788913,0.8879280501325695,120,-72.7780099,-36.07813227,CIREN
31,1.4594218594955501,1.4950820942593632,1.6236109791697115,1.768076395352415,NA,NA,52,-71.04671782,-31.79538477,CIREN
32,1.1335580076399212,1.125028079644645,1.0710107184328073,1.1212286158066567,1.1045092176336577,1.1064599384116212,145,-72.56932765,-37.119555,CIREN
33,0.6161331468215192,0.6184299412443168,0.6270993549673494,0.621257286559012,0.6045649247739512,NA,70,-72.30372855,-39.57174323,CIREN
34,1.2402280622344386,1.235153204711438,1.1108458369840333,1.0945822883399619,1.0055395137243976,1.0864538336140592,116,-72.5239116,-37.49304885,CIREN
36,1.4840754140683237,1.2467701761722088,0.9504681562823845,NA,NA,NA,22,-71.47223803,-35.2250355,CIREN
38,0.8290542671225974,0.8386740507808479,0.8844736014658773,1.1237173916691916,0.8349210662825651,NA,100,-73.57472391,-39.95108189,CIREN
39,1.708245750467774,1.7364417205569578,1.8466582257612236,1.9673799116843262,1.9414828491698086,NA,90,-71.00096324,-31.18121759,CIREN
40,1.3475790186817456,1.3502624633551028,1.350194761480671,1.2155454247179727,1.0596983352594016,1.0762538032417897,120,-72.79306731,-36.14330972,CIREN
41,0.7429108280436533,0.7502498797668605,0.7794925344821255,0.8238198595771331,0.7529676135335893,0.7004295830799904,120,-72.68493281,-38.49339137,CIREN
43,1.5884656923083844,1.602997953705825,1.6527666391330789,1.742642601419147,1.8081724251342102,NA,80,-71.81751048,-35.33015406,CIREN
44,1.1974069893233892,1.1999568741342255,1.2104442785306382,1.248472145370258,1.2783339190772678,1.2832158792998842,110,-71.30088232,-34.2412442,CIREN
45,1.4927367464974868,1.4281145686092727,1.3272020703017198,1.4412064309864554,NA,NA,46,-70.80480633,-34.24504549,CIREN
46,0.722230897497488,0.7120027511510755,0.7490397294080481,0.6411039175658262,0.5566998475439562,NA,61,-73.70337092,-42.6701328,CIREN
47,1.6206125276971262,1.5316431131094765,1.269044034579897,1.2519593832809073,1.3319203161792907,NA,97,-70.96713102,-34.36156575,CIREN
48,1.3796235006547326,1.3803913585564538,1.406074728972991,1.5316948868352216,1.6123861010915501,NA,80,-70.62924987,-31.89242942,CIREN
49,1.2815355012296992,1.2919427634033056,1.3334911356467736,1.4307802127232248,1.3389896919296616,NA,93,-72.62896406,-37.42536011,CIREN
51,1.2352156020921266,1.240518489167145,1.279458119442701,1.428165186893176,NA,NA,43,-70.66852326,-34.05130164,CIREN
52,1.7,1.7,1.7,NA,NA,NA,22,-71.34305429,-33.7548122,CIREN
54,1.38400078747047,1.3940785345549542,1.4197237125666613,1.4278851712178442,NA,NA,32,-71.26313314,-30.0239802,CIREN
55,1.2734515354956675,1.2824679058942876,1.3177525721161512,1.3680308023110264,1.402819117870813,1.4131141068456918,125,-72.45431072,-36.63678676,CIREN
56,1.0013156007921062,1.1110191910291358,1.291953818593881,1.2224076868248217,1.1661233461837104,NA,70,-72.6951066,-38.35393357,CIREN
57,1.201297889261051,1.2529702408058128,0.8289986995733164,1.1782567735630345,1.4204198745776866,1.327488425370804,105,-72.5231478,-37.56737951,CIREN
58,0.5691192412704902,0.5257590059718718,0.44621009428218805,0.8088384380746297,0.7659129786379646,0.474282281345311,120,-73.67901325,-42.92650527,CIREN
60,1.721198584378112,1.6977018196970974,1.614891614808935,1.502525167507142,1.5531478907710763,1.6030295081924524,102,-71.08554048,-33.46097471,CIREN
62,1.677835148905394,1.677835148905394,1.6795545235151756,1.760555033384287,1.8039439145282965,1.8011582882764092,114,-70.66274515,-33.88263491,CIREN
64,1.5984071956344739,1.601541656900392,1.5967977383957632,1.6453946656550136,NA,NA,57,-71.00711776,-33.70499012,CIREN
65,0.5374757989293415,0.5607358498738586,0.6449222342830135,0.6555554143303413,0.6546661461640519,NA,80,-72.80273466,-40.35160362,CIREN
66,1.5614201034614383,1.5824386211421506,1.6630682481542505,1.6440657785631076,NA,NA,55,-71.62194255,-35.9447662,CIREN
69,1.5287217860086801,1.4184959167866766,1.1951125195192258,1.01263078104259,0.8831326053910481,NA,95,-72.85076127,-38.62270199,CIREN
70,1.72166667923562,1.6976501811449523,1.6144762826652066,1.6575170253093905,1.916219100072176,NA,90,-71.2037072,-33.72942791,CIREN
75,1.4077433554903356,1.3336723562685175,1.329369777775801,1.3360749939616627,1.1435225655804686,1.1328014577163528,160,-72.57377605,-37.47245873,CIREN
76,1.61445123517242,1.6581329567659537,1.6892927694082105,1.6234851603005058,1.8008222823630302,1.9422042682815104,120,-71.23870755,-29.92877384,CIREN
77,0.6593644352867782,0.6709681732612254,0.8446505570543361,0.932674108348572,NA,NA,55,-73.71098565,-42.30054301,CIREN
79,1.6982340581780229,1.7001914492325974,1.7060488593964174,1.699557190378355,1.7189877222385708,1.8138452584083589,102,-71.86694072,-35.73096903,CIREN
82,1.4209238269493145,1.4485186936451335,1.5274728881128796,1.5543841017516737,1.4754079852611008,1.5153203064386178,140,-72.1081172,-36.7887521,CIREN
85,1.5770335523234604,1.5269105957819034,1.345323527172087,1.105099852048722,1.1180921702920175,1.1710781217188642,120,-73.26666548,-37.25275453,CIREN
89,1.1163043309399117,1.0511004792701963,0.8386545444300133,0.7318079751878875,0.7425306532815495,NA,100,-72.06041617,-38.9285299,CIREN
90,1.017380112934871,1.0418048471360428,0.9211302761121808,0.8582028291919223,1.0593353991632415,1.2146753598183055,112,-72.53061634,-37.49544307,CIREN
92,0.9019986460559383,0.9301559442106089,0.984630771686002,1.034963586332489,1.1692736170516782,1.2230197673907448,110,-72.9644769,-37.82363806,CIREN
94,1.3025147622246935,1.2814899303944354,1.217561830178691,1.128400530143895,1.0385139904250833,0.9296489981169686,130,-72.24699295,-36.49204391,CIREN
95,1.3698640029672078,1.386281826578329,1.450799206805185,1.5521951763476678,NA,NA,55,-70.985489,-31.78165262,CIREN
97,0.9121824039181408,0.902589030703193,1.1056355296460343,1.0878183848152974,0.9571059315690005,NA,65,-73.55048343,-41.00433857,CIREN
99,0.6457256325036581,0.6663743898399487,0.712651754659987,0.6673938911616824,0.5817460997916338,0.690595808619659,115,-73.6990148,-41.90862962,CIREN
100,1.4575925615647372,1.5288405045481046,1.658272910295052,1.5992198275112588,1.6037974497418137,1.5728559810456881,108,-72.19388675,-37.10810197,CIREN
101,1.3714502968697369,1.3838174398400167,1.4322833623738702,1.5724063992134842,1.6742951910599018,1.5877071525353754,170,-72.3252344,-36.84393826,CIREN
103,0.9762288918069488,0.9883317891675274,1.0308607589183638,1.0659993274582638,1.0875084457447384,NA,90,-72.49679156,-37.50914447,CIREN
106,1.45,1.45,1.45,NA,NA,NA,22,-70.52628489,-29.90872361,CIREN
107,1.1332480642754672,1.1445918650160667,1.1641111785744966,1.0956838772054196,0.9857899802569584,0.8961052572026142,150,-72.48689735,-37.92029767,CIREN
108,1.5768196434155721,1.5653020375659334,1.5193936476691399,1.4356864792983643,NA,NA,55,-70.70768854,-31.88039492,CIREN
109,0.39135498551569103,0.40151288125301843,0.4411620048280618,0.47097403856227893,0.34006494330071996,0.2825935039986394,110,-72.64551053,-41.42352499,CIREN
110,1.5345265393782297,1.4701189137481432,1.286074575045731,1.2248221673504485,1.259258606287866,1.2477965745358424,140,-72.81492506,-37.09098692,CIREN
111,1.4452386869994134,1.466394011348974,1.4993497361684265,1.5107218933429096,1.503331048983857,1.4967897231931784,115,-72.55955021,-36.25919757,CIREN
112,0.9433322430621947,0.949532573431609,0.9742858303327593,0.9868189997916295,0.9284427428549278,NA,70,-73.53773761,-37.32149028,CIREN
113,1.8087190607177437,1.78797139987347,1.71819519214398,1.6468402419769599,1.651626004690248,NA,95,-70.8238261,-30.71132372,CIREN
115,1.6875224522266814,1.6937812387043976,1.718036164438253,1.6506349108550513,1.501253127516191,1.6222064694700327,120,-70.84505936,-33.71277502,CIREN
118,0.6073167151470474,0.6163873100306106,0.6490186818591406,0.6222682731650072,0.5094976400629341,0.8097523541273455,120,-72.74581314,-40.43428433,CIREN
119,1.8146298905840903,1.7900481803699624,1.7077870281993943,1.6068400956739564,1.7518905553375668,1.6759035103351043,118,-71.38793896,-33.28782342,CIREN
120,0.9342432202066414,0.9325494987599813,0.9257888751031501,0.906552434570137,0.8883979053150991,NA,86,-72.10023293,-39.8451942,CIREN
121,0.6611723619447947,0.7877924410840282,0.856973117726183,0.6847078515880044,0.7079984127562755,0.7919555363750541,130,-72.81527022,-39.92483726,CIREN
123,0.902918369215182,0.8576430539864635,0.7525797342272402,0.7581812269144503,0.8325685675954918,0.862412849428986,120,-71.77941331,-38.46436865,CIREN
124,1.3992522146516464,1.4001944366366668,1.4258661558437806,1.5634377383089653,1.6439422022264574,1.6930799725445946,125,-71.81943449,-36.63062249,CIREN
127,1.1842444889082437,1.1781048369970313,1.1670817257412405,1.2208976430313438,1.3685334254747108,1.586576080610268,120,-73.3252353,-40.60087948,CIREN
129,1.226615669308644,1.21736540899463,1.1804360751828682,1.0974524653449906,1.2048634155940885,1.5902425961324194,130,-71.2457258,-35.25739778,CIREN
130,1.7463753852839268,1.7935024556394215,1.9560706252368025,1.9641931161164512,1.7707513467677498,NA,64,-71.77966283,-35.34905764,CIREN
131,0.5172310904748659,0.6099300839398535,0.7399860423400069,0.5436211765391661,0.7771023715236672,NA,95,-72.69185273,-40.3575518,CIREN
134,0.9196289042420278,0.8866538420298733,0.8659579852524545,1.1115087635121683,NA,NA,43,-71.77222129,-36.52989584,CIREN
135,0.8596214610663426,0.8167740266683758,0.7030892181749356,0.6071619662767893,0.5248809059196823,0.560360253086229,113,-73.61191255,-42.33720749,CIREN
136,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.7000000000000002,1.6999999999999997,NA,80,-71.69721623,-35.45007581,CIREN
137,1.5436726743145641,1.5506856975293588,1.5731901758726947,1.5837650318958905,1.578068742519318,NA,90,-72.16519806,-36.53112663,CIREN
138,1.2318497536559845,1.1965471054482266,1.0771710228070392,0.9455577741031234,1.1242550325663014,1.3535140452174819,110,-71.5666817,-36.05231629,CIREN
140,1.337048088732865,1.3484302809842685,1.390317019958813,1.4626092120328436,1.5092293683455689,NA,85,-72.42061899,-37.53679327,CIREN
142,1.2008634170996217,1.1437924030197995,1.4305639510892691,1.0921805076632396,1.2164930544462011,NA,85,-72.86391907,-37.80428466,CIREN
145,1.3770618010489126,1.335982057120349,1.2053439647964679,1.1556184085496584,1.1967551545937694,NA,100,-72.40011493,-38.05852516,CIREN
147,1.2442878115776983,1.294683124295318,1.20297430739462,1.1745627594537607,1.2326997811756837,NA,80,-71.01548493,-31.80147537,CIREN
149,0.579834992037529,0.6021869579277523,0.6695707987715757,0.7062453027350046,0.7500885854651715,NA,80,-72.62412548,-39.04953167,CIREN
150,0.5282664989038262,0.53045065209510045,0.5483487521077296,0.5864733713946546,NA,NA,57,-73.06148219,-41.13631084,CIREN
151,1.4826165264563098,1.4774193101904114,1.4375521604234904,1.34649206254331,1.63443654329858,NA,90,-71.96361717,-36.60008585,CIREN
152,1.357574232895674,1.3207575920900738,1.176041395099797,0.9325373744230697,1.0078538644714694,1.110152604353624,150,-72.54194804,-37.73537528,CIREN
154,1.0996134735337184,1.11752982169151,1.1843984050287983,1.321418680955913,1.3929981355702572,NA,65,-70.71220739,-34.06873544,CIREN
157,0.7889084617918487,0.8233719741691584,0.9258543610950916,0.8757513334007587,0.7593502967744415,0.8781204461408146,120,-72.94853094,-38.97946796,CIREN
158,1.080027060269275,1.0975805088488138,1.1578395487182997,1.1940142712874706,1.3162306119549583,NA,70,-70.71112414,-34.06875053,CIREN
162,1.3933802400690416,1.4323165983924588,1.4754203023349983,1.201359344978168,1.181212799021391,1.3115782059754835,106,-72.88431803,-38.69269482,CIREN
