id,0-5 cm,5-15 cm,15-30 cm,30-60 cm,60-100 cm,100-200 cm,soil depth,x,y,Fuente
2,2.5,2.5,2.5,2.5,2.5,NA,100,-72.25018236,-38.52993579,CIREN
3,2.5,2.5,2.5,2.5,2.5,2.5,110,-73.61357217,-43.05810882,CIREN
5,0.5264794380007949,1.135582815258967,1.8903580860508233,2.4888219930144544,NA,NA,55,-72.92779275,-41.40870107,CIREN
9,2.5,2.5,2.5,2.5,2.5,2.5,110,-70.49254557,-30.21453801,CIREN
11,2.5,2.175712450929693,0.33633273226445176,0.15085388908511707,0.034156700660052206,NA,75,-71.55958701,-37.32140125,CIREN
13,2.5,2.5,2.5,2.5,2.5,NA,90,-72.85372633,-38.75430974,CIREN
14,0,0,0,0,0,0,150,-72.34361976,-37.04125953,CIREN
16,2.5,2.5,2.5,2.5,2.5,2.5,140,-73.48005381,-37.6403617,CIREN
17,2.5,2.5,2.5,2.5,2.4170463900553476,1.1302779889683825,194,-73.15033359,-40.89952413,CIREN
18,2.5,2.5,2.5,2.5,2.5,NA,62,-71.10365691,-29.93893802,CIREN
19,2.5,2.5,2.5,2.5,2.5,2.5,140,-71.77681367,-36.43966806,CIREN
20,2.5,2.5,2.5,2.5,NA,NA,40,-72.66867232,-38.99493899,CIREN
23,2.5,2.5,2.5,2.5,2.5,NA,100,-73.74758302,-40.60982964,CIREN
25,2.5,2.5,2.5,2.5,2.5,NA,72,-72.3087817,-36.80166133,CIREN
27,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.7780099,-36.07813227,CIREN
31,2.5,2.5,2.5,2.5,NA,NA,52,-71.04671782,-31.79538477,CIREN
32,2.5,2.5,2.5,2.5,2.5,2.5,145,-72.56932765,-37.119555,CIREN
33,2.5,2.5,2.5,2.5,2.5,NA,70,-72.30372855,-39.57174323,CIREN
34,2.5,2.5,2.5,2.5,2.5,2.5,116,-72.5239116,-37.49304885,CIREN
36,2.5,2.5,2.5,NA,NA,NA,22,-71.47223803,-35.2250355,CIREN
38,2.5,2.5,2.5,2.5,2.5,NA,100,-73.57472391,-39.95108189,CIREN
40,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.79306731,-36.14330972,CIREN
41,2.5,2.5,2.5,2.5,2.5,2.5,120,-72.68493281,-38.49339137,CIREN
43,2.5,2.5,2.5,2.5,2.5,NA,80,-71.81751048,-35.33015406,CIREN
44,2.5,2.5,2.5,2.5,2.5,2.5,110,-71.30088232,-34.2412442,CIREN
45,2.5,2.5,2.5,2.5,NA,NA,46,-70.80480633,-34.24504549,CIREN
46,2.5,2.5,2.5,2.5,2.5,NA,61,-73.70337092,-42.6701328,CIREN
47,2.5,2.5,2.5,2.5,2.5,NA,97,-70.96713102,-34.36156575,CIREN
48,2.5,2.5,2.5,2.5,2.5,NA,80,-70.62924987,-31.89242942,CIREN
49,2.5,2.5,2.5,2.5,2.5,NA,93,-72.62896406,-37.42536011,CIREN
51,2.5,2.5,1.6998581953417826,2.5,NA,NA,43,-70.66852326,-34.05130164,CIREN
52,19.7,19.7,19.7,NA,NA,NA,22,-71.34305429,-33.7548122,CIREN
54,2.5,2.5,2.5,2.5,NA,NA,32,-71.26313314,-30.0239802,CIREN
55,2.5,2.5,2.5,1.9107906800645418,2.160128755735945,0.15794614956642244,125,-72.45431072,-36.63678676,CIREN
56,2.5,2.5,2.5,2.5,2.5,NA,70,-72.6951066,-38.35393357,CIREN
57,2.5,2.5,2.5,2.4948902943752604,2.3211303451871315,2.5,105,-72.5231478,-37.56737951,CIREN
58,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.67901325,-42.92650527,CIREN
60,2.5,2.5,2.5,2.5,2.5,2.5,102,-71.08554048,-33.46097471,CIREN
62,2.5,2.5,2.5,2.5,2.5,2.5,114,-70.66274515,-33.88263491,CIREN
64,2.5,2.5,2.5,2.5,NA,NA,57,-71.00711776,-33.70499012,CIREN
65,2.5,2.5,2.5,2.5,2.5,NA,80,-72.80273466,-40.35160362,CIREN
66,2.5,2.5,2.5,2.5,NA,NA,55,-71.62194255,-35.9447662,CIREN
69,2.5,2.5,2.5,2.5,2.5,NA,95,-72.85076127,-38.62270199,CIREN
70,2.5,2.5,2.5,2.5,2.5,NA,90,-71.2037072,-33.72942791,CIREN
75,2.5,2.5,1.4384182693155567,1.510745923543412,2.5,2.5,160,-72.57377605,-37.47245873,CIREN
76,2.5,2.5,2.5,2.5,1.7305735943093208,2.5,120,-71.23870755,-29.92877384,CIREN
77,2.5,2.5,2.5,2.5,NA,NA,55,-73.71098565,-42.30054301,CIREN
79,2.5,2.5,2.5,2.5,2.5,2.5,102,-71.86694072,-35.73096903,CIREN
82,2.5,2.5,2.5,2.5,2.5,2.5,140,-72.1081172,-36.7887521,CIREN
85,2.5,2.5,2.5,2.5,2.5,2.5,120,-73.26666548,-37.25275453,CIREN
89,2.5,2.5,2.5,2.5,2.5,NA,100,-72.06041617,-38.9285299,CIREN
90,2.5,2.5,2.5,2.5,2.5,2.5,112,-72.53061634,-37.49544307,CIREN
92,2.5,2.5,2.5,2.5,2.5,2.5,110,-72.9644769,-37.82363806,CIREN
94,2.5,2.5,2.5,2.5,2.5,2.5,130,-72.24699295,-36.49204391,CIREN
95,2.5,2.5,2.5,2.5,NA,NA,55,-70.985489,-31.78165262,CIREN
97,2.5,2.5,2.5,2.5,2.5,NA,65,-73.55048343,-41.00433857,CIREN
99,2.5,2.5,2.5,2.5,2.5,2.5,115,-73.6990148,-41.90862962,CIREN
100,1.3329417317788552,0.9415806914377294,0.19966503623337054,0.26944175637349194,0.0014178052442401943,0.032020541516418886,108,-72.19388675,-37.10810197,CIREN
